label (after k-means)
17
6
17
8
25
4
23
11
30
20
46
30
38
35
27
0
0
25
40
24
16
17
40
8
12
48
8
8
7
14
27
10
46
33
49
11
28
4
30
0
28
11
19
16
27
27
40
25
17
37
29
30
48
8
25
8
25
37
10
37
38
0
42
4
9
19
16
5
6
8
10
44
42
35
21
21
48
40
39
20
13
7
5
4
3
2
32
5
0
48
14
28
23
25
16
13
37
17
14
9
40
21
1
19
32
21
15
34
37
2
14
45
45
28
14
17
28
38
38
48
28
11
44
38
37
13
32
14
46
27
3
3
32
1
32
21
21
21
20
43
27
14
22
19
5
15
5
45
1
39
32
6
47
22
8
0
10
19
45
12
34
45
44
8
4
20
40
28
36
18
22
14
43
5
37
37
28
43
34
12
4
3
3
22
33
22
43
47
10
36
46
43
15
15
20
22
4
27
3
46
21
20
6
25
45
12
25
8
48
5
9
20
0
34
15
12
27
37
40
9
4
5
38
8
27
28
46
48
1
22
2
33
38
46
20
14
4
1
0
2
10
45
4
2
15
15
13
14
14
27
47
28
40
15
40
38
25
45
13
14
48
11
40
38
9
9
43
2
11
46
38
45
27
28
13
7
14
9
14
14
20
40
3
47
25
19
32
12
28
25
20
34
32
23
30
46
39
6
1
40
3
30
49
40
2
23
14
48
20
11
43
46
46
19
0
25
42
1
7
35
1
16
47
14
27
11
44
17
31
3
40
34
9
45
18
0
30
12
10
19
39
37
45
30
46
47
5
25
48
5
27
15
14
33
5
49
37
15
10
39
23
4
32
42
19
13
25
8
41
32
25
4
8
33
13
4
20
40
25
27
37
3
23
7
20
13
19
32
42
15
1
46
2
39
3
15
10
3
29
46
37
36
45
13
2
37
17
0
22
5
14
10
3
45
33
34
20
9
27
46
3
38
39
43
35
3
3
32
35
28
34
21
17
40
49
20
29
4
16
3
2
45
0
20
27
37
27
39
6
48
28
3
13
20
20
45
39
46
5
1
7
5
29
11
20
36
48
15
9
1
27
14
10
8
20
0
21
6
44
12
3
31
1
10
14
47
14
8
9
9
41
6
45
36
37
28
37
5
4
4
15
14
6
27
14
8
46
45
9
46
25
37
34
34
9
12
6
20
37
5
0
1
6
36
3
20
8
2
1
15
5
40
20
29
1
20
45
40
15
34
12
46
20
2
45
44
41
7
6
48
27
28
10
12
30
3
44
46
8
17
2
2
13
9
1
21
22
47
6
36
0
45
14
44
20
49
33
40
29
4
47
31
3
25
44
6
47
32
37
12
6
28
12
46
8
48
0
4
7
8
40
13
6
36
1
7
41
31
13
40
34
15
49
19
13
29
2
34
22
6
20
10
34
21
10
33
12
26
45
49
30
21
13
13
15
26
13
1
28
47
2
27
28
28
36
26
22
29
4
46
6
6
13
27
37
27
21
10
26
13
46
47
12
22
10
45
14
2
13
47
9
46
22
40
30
25
33
44
11
30
14
42
10
7
16
17
27
20
11
40
46
23
35
39
33
0
0
0
35
48
2
36
46
17
6
17
8
25
4
23
11
30
20
46
30
38
35
27
0
0
25
40
24
16
17
40
8
12
48
8
8
7
14
27
10
46
33
49
11
28
4
30
0
28
11
19
16
27
27
40
25
17
37
29
30
48
8
25
8
25
37
10
37
38
0
42
4
9
19
16
5
6
8
10
44
42
35
21
21
48
40
39
20
13
7
5
4
3
2
32
5
0
48
14
28
23
25
16
13
37
17
14
9
40
21
1
19
32
21
15
34
37
2
14
45
45
28
14
17
28
38
38
48
28
11
44
38
37
13
32
14
46
27
3
3
32
1
32
21
21
21
20
43
27
14
22
19
5
15
5
45
1
39
32
6
47
22
8
0
10
19
45
12
34
45
44
8
4
20
40
28
36
18
22
14
43
5
37
37
28
43
34
12
4
3
3
22
33
22
43
47
10
36
46
43
15
15
20
22
4
27
3
46
21
20
6
25
45
12
25
8
48
5
9
20
0
34
15
12
27
37
40
9
4
5
38
8
27
28
46
48
1
22
2
33
38
46
20
14
4
1
0
2
10
45
4
2
15
15
13
14
14
27
47
28
40
15
40
38
25
45
13
14
48
11
40
38
9
9
43
2
11
46
38
45
27
28
13
7
14
9
14
14
20
40
3
47
25
19
32
12
28
25
20
34
32
23
30
46
39
6
1
40
3
30
49
40
2
23
14
48
20
11
43
46
46
19
0
25
42
1
7
35
1
16
47
14
27
11
44
17
31
3
40
34
9
45
18
0
30
12
10
19
39
37
45
30
46
47
5
25
48
5
27
15
14
33
5
49
37
15
10
39
23
4
32
42
19
13
25
8
41
32
25
4
8
33
13
4
20
40
25
27
37
3
23
7
20
13
19
32
42
15
1
46
2
39
3
15
10
3
29
46
37
36
45
13
2
37
17
0
22
5
14
10
3
45
33
34
20
9
27
46
3
38
39
43
35
3
3
32
35
28
34
21
17
40
49
20
29
4
16
3
2
45
0
20
27
37
27
39
6
48
28
3
13
20
20
45
39
46
5
1
7
5
29
11
20
36
48
15
9
1
27
14
10
8
20
0
21
6
44
12
3
31
1
10
14
47
14
8
9
9
41
6
45
36
37
28
37
5
4
4
15
14
6
27
14
8
46
45
9
46
25
37
34
34
9
12
6
20
37
5
0
1
6
36
3
20
8
2
1
15
5
40
20
29
1
20
45
40
15
34
12
46
20
2
45
44
41
7
6
48
27
28
10
12
30
3
44
46
8
17
2
2
13
9
1
21
22
47
6
36
0
45
14
44
20
49
33
40
29
4
47
31
3
25
44
6
47
32
37
12
6
28
12
46
8
48
0
4
7
8
40
13
6
36
1
7
41
31
13
40
34
15
49
19
13
29
2
34
22
6
20
10
34
21
10
33
12
26
45
49
30
21
13
13
15
26
13
1
28
47
2
27
28
28
36
26
22
29
4
46
6
6
13
27
37
27
21
10
26
13
46
47
12
22
10
45
14
2
13
47
9
46
22
40
30
25
33
44
11
30
14
42
10
7
16
17
27
20
11
40
46
23
35
39
33
0
0
0
35
48
2
36
46
